Date,Route,Notes
"1월 14일","Courtyard by Marriott Patong -> 쓰리몽키즈 -> 마사지 -> 카오랑뷰포인트 -> 올드타운 -> 푸켓국제공항","식사 먼저 시작"
"1월 3일","OASIS Phuket Airport -> 코끼리 먹이주기 -> 위카페 -> 돌고래쇼 -> 라이언랜드 -> 쓰리몽키즈 -> Splash Beach Resort","공항 근처 출발"
"1월 16일","Sri Panwa Phuket -> 깐엥피어 -> 왓찰롱 -> 타이거파크 -> 올드타운 -> 마사지 -> 푸켓국제공항","고급 리조트 출발"
"1월 9일","Mandarava Resort -> 쏨찟국수 -> 돌핀쇼 -> 올드타운 -> 푸켓국제공항","핵심만 간단히"
"2월 19일","Grace Patong Hotel -> 라이언 랜드 -> 푸켓 돌핀쇼 -> Grace Patong Hotel","오전 반나절 투어"
"2월 3일","The Deck Condominium -> blanket&a pillow -> 올드타운 -> 마사지 -> 쓰리몽키즈 -> 푸켓국제공항","감성 카페 포함"
"1월 29일","Grace Patong Hotel -> Thavorn Palm Beach Resort -> 시암니라밋쇼 -> Thavorn Palm Beach Resort","체크인 후 쇼 관람"
"2월 8일","Dinso Resort -> 하누만 월드 -> 왓찰롱 -> Sea Almond -> 마사지 -> 공항","액티비티 후 공항"
"2월 24일","Rassada Pier -> 라이언 랜드 -> 올드타운 -> 마사지 -> 푸켓 국제공항","피피섬 다녀온 후 일정"
"1월 21일","Baan Karonburi Resort -> 카론뷰포인트 -> 쏨찟국수 -> 왓찰롱 -> 카오랑뷰포인트 -> 마사지 -> 올드타운 -> 푸켓국제공항","뷰포인트 2곳 방문"
"1월 25일","Blu Monkey Boutique -> 짚라인 -> 쓰리몽키즈 -> 마사지 -> 올드타운 -> 푸켓국제공항","올드타운 선데이마켓"
"3월 3일","Courtyard by Marriott -> We Café -> 올드타운 -> 마사지 -> 쓰리몽키즈 -> 푸켓 국제공항","위카페 포함"
"2월 1일","마리나 갤러리 리조트 -> 마두부아 -> 올드타운 -> 공항","짧고 굵게"
"1월 15일","COMO POINT YAMU -> 왓찰롱 -> 올드타운 -> 마사지 -> 쓰리몽키즈 -> 공항","럭셔리 디너 마무리"
"2월 2일","Metadee Concept Hotel -> 타이거 파크 -> 쓰리몽키즈 -> 올드타운 -> 왓찰롱 -> Metadee Concept Hotel","숙소 복귀"
"2월 16일","Keemala Phuket -> 하누만 월드 -> 칠와 마켓 -> 오아시스 스파 -> 푸켓 국제공항","럭셔리 스파 마무리"
"2월 23일","Laemsai Resort -> 쓰리몽키즈 -> 하누만 짚라인 -> 타이거파크 -> Splash Beach Resort","액티비티 위주"
"1월 15일","OZO Phuket -> 코끼리 트래킹 -> 왓찰롱 -> 푸켓 서키스(Phuket Circus?) -> 카오랑힐 -> 쓰리몽키즈 -> 푸켓국제공항","서커스 포함"
"1월 8일","Mandarava Resort -> 쓰리몽키즈 -> 라이언랜드 -> 왓찰롱 -> 올드타운 -> 빅씨마트(MK수끼) -> 공항","쇼핑/식사 마무리"
"1월 13일","Mandarava Resort -> 왓찰롱 -> 쓰리몽키즈 -> 카오랑 힐 -> 올드타운 -> 마사지 -> 푸켓 국제공항","정석 코스"
"1월 25일","Impiana Private Villas -> 쏨찟국수 -> 라이언랜드 -> 왓찰롱 -> 마사지 -> 올드타운 -> 공항","호텔 미팅 포함"
"1월 25일","Centara Kata Resort -> 타이거파크 -> 코끼리 -> 왓찰롱 -> 쏨찟국수 -> 돌핀쇼 -> 올드타운 -> Centara Kata Resort","하루 종일 꽉 찬 코스"
"2월 1일","찰롱라운지 -> 쏨찟국수 -> 왓찰롱 -> 돌핀쇼 -> 올드타운 -> 공항","남부 투어 위주"
"1월 6일","Lalynn Resort -> We Café -> 코끼리 -> 왓찰롱 -> 마사지 -> 칠와 마켓 -> 공항","야시장 마무리"
"2월 9일","BS Airport -> 라이언 랜드 -> 쏨짓 바미국수 -> 빅씨 마트 -> Courtyard Town","공항 근처 출발 시내 이동"
"2월 1일","Royal Paradise -> 위카페 -> 돌핀쇼 -> 왓찰롱 -> The Pavilions Phuket","호텔 이동"
"1월 4일","Craft Resort -> We Café -> 돌핀쇼 -> 왓찰롱 -> 마사지 -> 쓰리몽키즈 -> 공항","커플 여행 추천"
"1월 25일","Royal Phuket City Hotel -> 카오랑 -> 왓찰롱 -> 쏨찟국수 -> 카론뷰포인트 -> 왓 수완키리 -> Mandarava Resort","사원/뷰포인트 투어"
"2월 7일","Villa Zolitude -> 타이거 파크 -> 쏨짓 국수 -> 왓찰롱 -> 마사지 -> 쓰리몽키즈 -> 칠와 마켓 -> 공항","풀빌라 체크아웃 투어"
"1월 17일","Wekata Luxury -> 쓰리몽키즈 -> 돌핀쇼 -> 라이언랜드 -> 마사지 -> MK수끼 -> 공항","타이거/돌핀/라이언 동물 투어"
"2월 26일","Seabed Grand Hotel -> 라이언 랜드 -> 쏨짓 -> 돌핀쇼 -> 마사지 -> 쓰리몽키즈 -> 공항","가족 여행 정석"
"1월 10일","Splash Beach Resort -> 투캅카오 -> 시암니라밋쇼 -> Splash Beach Resort","저녁 쇼 관람 위주"
"2월 16일","Aspery Hotel -> 타이거 파크 -> 왓찰롱 -> 쓰리몽키즈 -> Aspery Hotel","오전/점심 짧은 투어"
"2월 3일","Novotel Phuket Vintage Park -> WE CAFÉ -> 라이언랜드 -> 왓찰롱 -> 마사지 -> 쓰리몽키즈/바분카페 -> 공항","카페/맛집 투어"
"1월 10일","Phuket Graceland -> 카론뷰포인트 -> 왓찰롱 -> 코끼리 -> 쓰리몽키즈 -> 올드타운 -> 공항","뷰포인트/코끼리"
"2월 1일","Splash Beach Resort -> 라이언랜드 -> 왓찰롱 -> 위카페 -> Courtyard by Marriott","호텔 이동"
"4월 10일","The Senses Resort -> 타이거 파크 -> 쏨짓 -> 마사지 -> 올드타운 -> 공항","심플 시티 투어"
"1월 12일","Patong Heritage -> 쏨찟국수 -> 왓찰롱 -> 코끼리 -> 마사지 -> 쓰리몽키즈 -> 공항","정석 시티투어"
"2월 6일","JW Marriott Phuket -> 라이언 랜드 -> 코끼리 -> 위카페 -> 공항","공항 근처 호텔 출발"
"2월 12일","Pamookkoo Resort -> 쏨찟국수 -> 왓찰롱 -> 타이거파크 -> 카오랑 뷰포인트","키즈 리조트 출발"
